time,price
12:43:14,21344
12:43:24,21351
12:43:34,21351
12:43:44,21355
12:43:54,21366
12:44:04,21360
12:44:14,21354
12:44:24,21356
12:44:34,21340
12:44:44,21334
12:44:54,21331
12:45:32,21322
12:45:42,21320
12:45:52,21326
12:46:02,21330
12:46:12,21334
12:47:57,21317
12:48:07,21318
12:48:17,21325
12:48:27,21321
12:48:38,21322
12:48:48,21324
12:48:58,21324
12:49:08,21326
12:49:18,21324
12:49:28,21321
12:49:38,21334
12:49:48,21340
12:49:58,21337
12:50:08,21331
12:50:18,21335
12:50:28,21336
12:50:38,21330
12:50:48,21330
12:50:58,21331
12:51:08,21343
12:51:18,21342
12:51:28,21343
12:51:38,21344
12:51:48,21353
12:52:18,21351
12:52:28,21352
12:52:38,21349
12:52:48,21348
12:52:58,21354
12:53:08,21348
12:53:18,21339
12:53:28,21345
12:53:38,21338
12:53:48,21334
12:53:59,21329
12:54:09,21320
12:54:19,21321
12:54:29,21321
12:54:39,21320
12:54:49,21330
12:54:59,21332
12:55:09,21329
12:55:19,21328
12:55:29,21328
12:55:39,21326
12:55:49,21326
12:55:59,21325
12:56:09,21330
12:56:19,21331
12:56:49,21321
12:56:59,21321
12:57:09,21326
12:57:19,21324
12:57:29,21318
12:57:39,21319
12:57:49,21321
12:57:59,21321
12:58:09,21318
12:58:19,21324
12:58:38,21332
12:58:48,21329
12:58:58,21327
12:59:08,21330
12:59:18,21329
13:17:45,21329
13:21:07,21298
13:21:17,21292
13:21:47,21289
13:21:57,21292
13:22:07,21289
13:22:17,21295
13:22:27,21300
13:22:37,21301
13:22:47,21298
13:22:57,21300
13:23:07,21291
13:23:17,21285
13:23:27,21285
13:23:37,21282
13:23:47,21282
13:23:57,21284
13:24:08,21283
13:24:18,21282
13:24:28,21276
13:24:38,21278
13:24:48,21281
13:24:58,21282
13:25:08,21289
13:25:18,21285
13:25:28,21283
13:25:38,21277
13:25:48,21278
13:25:58,21271
13:26:08,21275
13:26:18,21275
13:26:48,21289
13:26:58,21289
13:27:08,21289
13:27:18,21284
13:27:28,21277
13:27:38,21280
13:27:48,21284
13:27:58,21282
13:28:08,21279
13:28:18,21278
13:28:28,21277
13:28:38,21279
13:28:48,21277
13:28:59,21278
13:29:09,21279
13:29:19,21282
13:29:29,21272
13:29:39,21274
13:29:49,21272
13:29:59,21273
13:30:09,21267
13:30:19,21259
13:30:29,21267
13:30:39,21272
13:30:49,21280
13:31:29,21263
13:31:39,21261
13:31:49,21259
13:31:59,21259
13:32:09,21260
13:32:19,21244
13:32:29,21253
13:32:39,21248
13:32:49,21252
13:32:59,21248
13:33:09,21242
13:33:19,21246
13:33:30,21249
13:33:40,21253
13:33:50,21253
13:34:00,21249
13:34:10,21245
13:34:20,21242
13:34:30,21221
13:34:40,21225
13:34:50,21227
13:35:00,21230
13:35:10,21232
13:35:20,21230
13:35:40,21234
13:35:50,21243
13:36:00,21242
13:36:10,21239
13:36:20,21250
13:36:30,21250
13:36:40,21245
13:36:50,21248
13:37:00,21258
13:37:10,21256
13:37:20,21260
13:37:30,21259
13:37:40,21259
13:37:50,21264
13:38:00,21264
13:38:10,21271
